names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,408.0
Tree,Tree,0,0.0,45.0,115.0,242.0
Tree,Tree,0,52.0,131.0,314.0,406.0
Tree,Tree,0,7.0,104.0,199.0,394.0
Palm tree,Palm tree,0,93.0,179.0,254.0,371.0
Tree,Tree,0,84.0,185.0,245.0,373.0
Tree,Tree,0,0.0,42.0,117.0,192.0
Tree,Tree,0,399.0,440.0,387.0,407.0
Tree,Tree,0,0.0,611.0,177.0,408.0
Tree,Tree,0,165.0,241.0,298.0,403.0
Tree,Tree,0,486.0,518.0,357.0,402.0
Tree,Tree,0,0.0,34.0,180.0,242.0
Tree,Tree,0,0.0,71.0,230.0,392.0
Tree,Tree,0,232.0,441.0,337.0,408.0
Tree,Tree,0,29.0,427.0,247.0,407.0
Tree,Tree,0,362.0,416.0,385.0,407.0
Tree,Tree,0,136.0,342.0,296.0,407.0
Tree,Tree,0,2.0,192.0,112.0,402.0
Tree,Tree,0,424.0,528.0,339.0,403.0
Tree,Tree,0,255.0,324.0,332.0,404.0
Tree,Tree,0,182.0,437.0,312.0,408.0
Tree,Tree,0,10.0,380.0,122.0,405.0
Tree,Tree,0,65.0,215.0,238.0,390.0
